公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）,關鍵減量策略
精金,光電業,"47,917",無承諾,30.0%,❌,✅,✅,✅,22.7%,NA,1.2%,777,,NA,❌,0,太陽能光電系統、汰換舊式燈管、調整冰機出水溫、空壓機系統效能提升、關閉閒置設備
台燿,電子業,"43,357",NA,42.0%,❌,❌,✅,❌,-14.7%,NA,0.8%,1176,,NA,❌,0,汰換舊機、設置綠電、製程改善、節能設備、循環經濟
住華,電子業,"36,987",,,❌,,❌,,,,,,,,,0,
藍海氣體,石化業,"41,933",,,❌,,❌,,,,,,,,,0,
台塑旭,石化業,"47,278",,,❌,,❌,,,,,,,,,0,
元晶,光電業,"35,991",,,❌,✅,✅,❌,26.9%,NA,0.0%,0,,NA,❌,0,調整最佳運轉模式、FAB照明管理、調整空壓機壓力、設施汰舊換新
日皓造紙,造紙業,"40,179",,,❌,,❌,,,,,,,,,"1,610",
新隆纖維,紡織業,"37,912",,,❌,,❌,,,,,,,,,"21,375",
采鈺,電子業,"34,551",NA,NA,❌,✅,✅,❌,10.2%,NA,37.1%,29.8,✅,40.0%,✅,0,提升能源使用效率、購買再生能源、製程尾氣削減、建置太陽能發電
巧新,鋁製造業,"35,382",2050,NA,❌,✅,✅,✅,-9.2%,NA,0.9%,1492.4,,NA,❌,0,佈局再生能源、形塑永續文化、優化製程能效、建置監控系統、汰換高耗能設備
餘慶堂,水泥業,"41,185",,,❌,,❌,,,,,,,,,"7,998",
達爾國際,半導體業,"9,537",NA,NA,❌,❌,✅,❌,,NA,20.0%,NA,,NA,❌,0,優化氟化製程氣體、安裝尾氣處理系統、節能設備汰換、安裝現場太陽能板、推動視訊會議
六和機械,汽機車業,"35,843",,,❌,,❌,,,,,,,,,0,
矽格,半導體業,"39,050",NA,25.0%,❌,✅,✅,❌,1.3%,NA,2.9%,NA,,30.0%,✅,0,智慧工廠、節約能源、再生能源、製程改善、設備汰換
名佳利,銅製造業,"45,291",,,❌,,❌,,,,,,,,,0,
聯合再生,光電業,"37,782",2050,24.0%,❌,✅,✅,❌,30.1%,NA,0.0%,0,,NA,❌,0,開發低碳產品、參與再生能源項目、提高能源使用效率、溫室氣體盤查、落實污染防制
晶碩,眼鏡製造業,"36,741",2050,NA,❌,✅,✅,✅,,NA,0.0%,0,,NA,❌,0,節能製程優化、建置太陽能板、水資源回收、設備汰換、溫室氣體盤查
萬洲化學,石化業,"51,926",,,❌,,❌,,,,,,,,,0,
南港,石化業,"38,918",2050,NA,❌,✅,✅,✅,-41.7%,NA,10.0%,NA,✅,NA,❌,0,推動節能方案、生產製程優化、太陽能源建置、導入氮氣系統、鍋爐能源轉型
台榮,碾穀、磨粉及澱粉製品製造業,"41,552",2050,NA,❌,✅,✅,❌,,NA,0.0%,3998.48,,10.0%,❌,0,節能技術應用、電動化轉型、綠色採購、採購綠電、增設儲能設備
國瑞,汽機車業,"37,410",,,❌,,❌,,,,,,,,,0,
台達化,石化業,"39,582",2050,27.0%,❌,✅,✅,✅,3.3%,6.0%,0.0%,8600,,NA,❌,0,設備汰舊換新、建置再生能源、生產排程最佳化、能源管理系統、低碳燃料替代
上銀,金屬加工用機械設備製造業,"34,972",2050,42.0%,符合1.5°C目標,❌,✅,✅,4.4%,2.0%,2.1%,2935,,NA,❌,0,提高能源效率、創新低碳產品、循環經濟減廢、導入再生能源
卜蜂,食品業,"31,785",NA,,❌,❌,✅,❌,4.3%,NA,0.3%,410.7,,NA,❌,0,減少廢棄物產生、更新及改善防制設備、致力落實污染防制、徹底執行化學物質管理、全員參與持續改善
友達晶材,光電業,"15,310",,,❌,,❌,,,,,,,,,0,
達輝光電,光電業,"38,415",,,❌,,❌,,,,,,,,,0,
三陽工業,汽機車業,"37,414",2050,8.0%,❌,❌,✅,✅,-15.2%,NA,0.0%,NA,,10.0%,❌,0,低碳化生產製程、研發低碳高效能產品、導入智慧化能源管理、推動溫室氣體盤查、供應鏈低碳化輔導
東隆興,紡織業,"51,644",NA,20.0%,❌,✅,✅,❌,-6.2%,NA,0.0%,NA,,NA,❌,0,建置太陽能發電、鍋爐燃料改為天然氣、設備汰舊換新、製程優化、推廣再生材料
安瀚視特,非金屬製品加工業,"13,142",,,❌,,❌,,,,,,,,,0,
三洋磁磚,非金屬製品加工業,"35,388",,,❌,,❌,,,,,,,,,0,
宏全,鋼鐵業,"32,007",2050,NA,❌,✅,✅,✅,-3.7%,NA,0.0%,0,,10.0%,❌,0,駐廠連線生產、產品輕量化、使用再生料、建置太陽能、設備汰舊換新
台耀,石化業,"35,742",2050,NA,❌,✅,✅,❌,-3.0%,NA,0.7%,814.73,✅,NA,❌,0,汰換高耗能設備、建置太陽能發電、購買再生能源憑證、製程優化
鴻揚半導體,半導體業,"40,134",,,❌,,❌,,,,,,,,,0,
環泥,水泥業,"34,351",2050,5.0%,❌,✅,✅,❌,4.3%,NA,0.3%,NA,,100.0%,❌,"6,414",改善製程、綠電取代傳統能源、綠色運輸、汰換高耗電設備
台船,造船業,"21,681",NA,10.0%,❌,✅,✅,❌,11.7%,NA,3.0%,1140,✅,NA,❌,0,綠能設備自建自用、設備汰舊換新、空壓機監控系統、智慧船廠節能、製程改善
大同染整,紡織業,"21,085",,,❌,,❌,,,,,,,,,0,
科德寶,紡織業,"34,681",,,❌,,❌,,,,,,,,,0,
錦美紙業,造紙業,"18,250",,,❌,,❌,,,,,,,,,"5,362",
怡華,紡織業,"25,387",NA,5.0%,❌,✅,✅,❌,,NA,0.0%,0,,NA,❌,0,開發低碳服務模式、推動綠建築、汰換老舊設備、採用低碳原物料、辦公室無紙化
遠東氣體,石化業,"34,392",,,❌,,❌,,,,,,,,,0,
紡安,紡織業,"15,399",,,❌,,❌,,,,,,,,,0,
環泰,食品業,"31,800",2050,20.0%,❌,✅,✅,❌,,NA,0.0%,0,,NA,❌,"16,073",汰換鍋爐、節能設備、提升能源效率
達邁,電子業,"36,147",2050,35.0%,❌,✅,✅,✅,-4.6%,5.0%,1.2%,650.08,,2.0%,❌,0,製程節能技術導入、設備效率優化、擴大再生能源採購、執行碳中和計畫、計算產品碳足跡
國聯矽業,石化業,"35,908",2050,25.0%,❌,✅,✅,✅,,NA,47.0%,NA,,100.0%,❌,0,退出燃煤發電、下一代技術、使用再生能源
台合,石化業,"66,063",,,❌,,❌,,,,,,,,,"30,766",
台星科,電子業,"22,594",NA,9.0%,❌,✅,✅,❌,-2.9%,NA,2.8%,0,,15.0%,❌,0,購買綠電、建置太陽能、設備節能改善、ISO50001能管系統
金車,食品業,"31,505",,,❌,,❌,,,,,,,,,0,
連大興,紡織業,"31,247",,,❌,,❌,,,,,,,,,"9,786",
長興,石化業,"34,902",2050,30.0%,❌,✅,✅,✅,8.9%,15.0%,5.7%,NA,,10.0%,❌,0,評估新能源技術、燃料重油改用天然氣、更換變頻式馬達、提升鍋爐燃燒效率、優化製程工藝
東齊染整,紡織業,"33,104",,,❌,,❌,,,,,,,,,"12,440",
旭德,電子業,"28,326",,,❌,,❌,,,,,,,,,0,
台豐印刷,電子業,"29,418",,,❌,,❌,,,,,,,,,0,
曜智,紡織業,"35,617",,,❌,,❌,,,,,,,,,"13,315",
楠梓電,電子業,"42,285",NA,NA,❌,❌,✅,❌,14.1%,NA,0.0%,0,,NA,❌,0,執行節能減碳專案、採購再生能源、廢棄物轉廢為能、製程設備改善、空調系統節能
白馬磁磚,非金屬製品加工業,"38,317",,,❌,,❌,,,,,,,,,0,
台亞,半導體業,"35,073",,,❌,✅,✅,✅,15.8%,NA,0.8%,464.1,✅,NA,❌,0,製程低碳化、定期盤查溫室氣體、進行綠色採購、提高能源使用效率、製程最佳化控制
欣銓,半導體業,"24,154",2050,20.0%,❌,✅,✅,❌,3.6%,NA,10.4%,1535,✅,20.0%,✅,0,提升能源效率、使用再生能源、低碳技術轉型、低碳服務研發
史谷脫,造紙業,"27,595",,,❌,,❌,,,,,,,,,0,
矽格聯測,半導體業,"27,205",,,❌,,❌,,,,,,,,,0,
豐年豐和,食品業,"24,306",,,❌,,❌,,,,,,,,,0,
欣建,鋼鐵業,"25,103",,,❌,,❌,,,,,,,,,0,
能元科技,電池製造業,"26,906",NA,NA,❌,❌,✅,❌,,7.5%,8.1%,496.62,,8.6%,❌,0,電力使用效率、設備運轉優化、設備參數調整、系統優化、導入ISO 50001
蘋果電子,光電業,"25,213",,,❌,,❌,,,,,,,,,0,
燁興,鋼鐵業,"26,155",2050,20.0%,❌,✅,✅,❌,4.9%,NA,3.2%,1600,,NA,❌,0,優化製程能力、提升產品良率、燃燒控制優化、設備節能改善、建置再生能源
普利司通,石化業,"29,156",,,❌,,❌,,,,,,,,,0,
和大,汽機車業,"23,715",NA,NA,❌,❌,✅,❌,3.8%,NA,0.0%,5756.13,,NA,❌,0,汰換耗能設備、建置太陽能發電、導入變頻空調、空壓機節能改善、廢熱回收
廣達,電子業,"28,882",2050,42.0%,承諾設定科學基礎目標,❌,✅,✅,-2.5%,NA,47.5%,NA,,50.0%,❌,0,推動節能改善、再生能源導入、綠色供應鏈、低碳產品設計
台紙,石化業,"27,397",,,❌,,❌,,,,,,,,,0,
漢翔,航空業,"26,332",2050,18.0%,❌,✅,✅,❌,-7.3%,5.0%,2.7%,NA,,NA,❌,0,設置太陽能光電、執行節能專案、提升廢棄物利用率、製程精進
建大,石化業,"26,717",2050,25.0%,❌,✅,✅,❌,-4.9%,NA,1.5%,NA,,NA,❌,0,綠能使用、技術優化、設備提升改造、更換節能設備
宏洲,石化業,"34,393",2050,30.0%,❌,❌,✅,❌,11.6%,NA,0.0%,0,,10.0%,❌,0,汰換耗能設備、建置太陽能發電、使用綠電、使用天然氣、溫室氣體盤查
泓達化工,石化業,"25,541",,,❌,,❌,,,,,,,,,0,
建榮,紡織業,"26,425",NA,NA,❌,✅,✅,❌,-26.6%,NA,0.0%,0,,NA,❌,0,汰換耗能舊機種、重油改液化瓦斯、更換LED燈、導入變頻系統、生產流程優化
晉禾,鋼鐵業,"21,747",,,❌,,❌,,,,,,,,,0,
銓盟,紡織業,"24,741",,,❌,,❌,,,,,,,,,"10,947",
台鹽,食品業,"23,259",NA,NA,❌,❌,✅,✅,6.1%,NA,0.0%,2372.53,,NA,❌,0,能源管理系統、設備汰舊換新、再生能源發展、製程改善、產品碳足跡盤查
金元福,石化業,0,NA,NA,❌,✅,✅,❌,,NA,8.5%,1088.86,,60.0%,✅,0,能源治理、減碳行動、環境守護、6R永續策略、RE100
東欣,紡織業,"24,196",,,❌,,❌,,,,,,,,,"8,619",
鉅輝鋼鐵,鋼鐵業,"22,251",,,❌,,❌,,,,,,,,,0,
台群,紡織業,"25,981",,,❌,,❌,,,,,,,,,"11,261",
東培,鋼鐵業,"24,466",,,❌,,❌,,,,,,,,,0,
YKK,紡織業,"22,997",,,❌,,❌,,,,,,,,,0,
湯淺電池,電池製造業,"22,700",,,❌,,❌,,,,,,,,,0,
碁富食品,食品業,"23,240",,,❌,,❌,,,,,,,,,0,
紘楷,紡織業,"21,771",,,❌,,❌,,,,,,,,,"9,333",
昇陽半導體,半導體業,"27,247",2050,10.0%,❌,❌,✅,✅,4.5%,NA,0.0%,NA,,100.0%,❌,0,製程節能、設備汰換、智慧節能、再生能源使用
三芳,石化業,"23,838",無,18.0%,承諾設定科學基礎目標,✅,✅,✅,,NA,10.6%,3940,✅,100.0%,❌,0,節能減廢、潔淨能源、綠色設計、價值鏈減碳、能源轉型
和友紡織,紡織業,"11,423",,,❌,,❌,,,,,,,,,0,
南帝,石化業,"26,697",2050,10.0%,❌,✅,✅,❌,-10.3%,NA,1.9%,0,,100.0%,❌,0,購置綠電憑證、設備汰換、擴充太陽能發電、儲能設備設置、改用氫能
遠東先進,石化業,"23,354",,,❌,,❌,,,,,,,,,0,
嘉聯益,電子業,"15,977",2050,10.0%,❌,❌,✅,❌,13.9%,NA,0.0%,0,,NA,❌,0,設備變頻控制、空壓機更新、製程節能改善、提升能源效率、推動綠色辦公
春雨,鋼鐵業,"15,496",,12.0%,❌,✅,✅,❌,5.2%,NA,0.0%,1600,,20.0%,❌,0,設備汰舊換新、設置太陽能發電、生產管理調整、智慧電錶控管、開發綠色包裝
上評資源,造紙業,"21,732",,,❌,,❌,,,,,,,,,0,
古河銅箔,銅製造業,"21,683",,,❌,,❌,,,,,,,,,0,
年興,紡織業,"10,027",2050,60.0%,❌,✅,✅,❌,-4.9%,NA,NA,NA,,NA,❌,"2,293",燃煤轉型生質燃料、汰換高耗能設備、導入能源管理系統、提升能源使用效率、製程設備創新
大鐘印染,紡織業,"22,852",,,❌,,❌,,,,,,,,,0,
巨大,自行車業,"18,583",2050,25.0%,❌,✅,✅,✅,8.7%,NA,15.6%,NA,,18.5%,❌,0,導入再生能源、優化設備效率、強化供應鏈管理、研發低碳產品、推動員工減碳
元太,光電業,"19,665",2040,80.0%,❌,✅,✅,✅,14.7%,NA,58.0%,0,✅,100.0%,✅,0,建立環境管理系統、能效提升、使用低碳能源、價值鏈減碳、負碳技術
香榮實業,紡織業,0,,,❌,,❌,,,,,,,,,"8,260",
翔新,紡織業,"19,303",,,❌,,❌,,,,,,,,,"8,293",
中華凸版,半導體業,"16,473",,,❌,,❌,,,,,,,,,0,
敦南,半導體業,0,,,❌,,❌,,,,,,,,,0,
亞太優勢,半導體業,"22,032",,,❌,,❌,,,,,,,,,0,
東明纖維,紡織業,"23,785",,,❌,,❌,,,,,,,,,"9,966",
獻麒紡織,紡織業,"18,874",,,❌,,❌,,,,,,,,,"7,765",
台半,半導體業,"17,048",NA,NA,❌,❌,✅,❌,0.1%,NA,22.8%,NA,,NA,❌,0,推動節能專案、發展再生能源、完善管理系統建置、數位化碳管理
大統新創,紡織業,"13,218",2050,70.0%,❌,✅,✅,❌,-23.2%,30.0%,0.0%,1998.3,,NA,❌,3,天然氣鍋爐替換、更新環保設備、能源管理系統、建置再生能源、廢熱回收再利用
艾克爾先進,半導體業,"9,991",,,❌,,❌,,,,,,,,,0,
可成,鋁製造業,"9,955",2050,46.2%,符合1.5°C目標,❌,✅,✅,53.6%,NA,4.9%,1121.76,,60.0%,❌,0,綠能投資、節能措施、製程優化、設備汰舊換新
辛耘,半導體業,"10,536",2050,50.0%,❌,❌,✅,❌,-27.2%,NA,0.0%,0,,10.0%,❌,0,提升設備能效、導入能源管理、製程廢水回收、綠色包裝材料、推動節水方案
晶成,半導體業,"5,656",,,❌,,❌,,,,,,,,,0,
新瑞倡,紡織業,0,,,❌,,❌,,,,,,,,,112,
台灣高技,電子業,"4,495",NA,NA,❌,✅,✅,❌,,NA,0.0%,NA,,NA,❌,0,全廠能源監控、汰換節能機台、節能減廢會議
菱生,半導體業,,2050,50.0%,❌,✅,✅,❌,,10.0%,0.1%,761.16,,NA,❌,,
