公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）
敬鵬,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
華東,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
華新科,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
東盟開發,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
中環,電子業,根據台灣證券交易上市公司 2023 年度第四季報,報告書設定為每年減碳1%之年度目標，未明確設定特定年份之中期絕對減量檢核點（如2030年減量多少%）。,"僅載明「我們將 2024 年視為基準年，持續追蹤減碳成效」，但未設定任何減碳目標

p.133",數據來自附錄氣候相關資訊與GRI對照表，為本公司(48.6184)與合併財務報告子公司(175.8154)之合計。,報告書未依GHG Protocol細分類別揭露數值，僅提供範疇三總量。,無明確範疇三減量目標，有相關減碳作為。,參考頁數：p.81,報告書僅揭露範疇三總量，未分項揭露類別三數據。報告書僅揭露範疇三總量，且註明盤查範圍僅限中環公司（不含子公司）。數據來自附錄氣候相關資訊與GRI對照表，為本公司(80185.9228)與合併財務報告子公司(9593.9204)之合計。,報告書未依GHG Protocol細分類別揭露數值，僅提供範疇三總量。,報告書僅列出外購電力(佔整體能源使用逾99.5%),報告書未依GHG Protocol細分類別揭露數值，僅提供範疇三總量。,報告書未依GHG Protocol細分類別揭露數值，僅提供範疇三總量。,報告書未依GHG Protocol細分類別揭露數值，僅提供範疇三總量。,報告書未依GHG Protocol細分類別揭露數值，僅提供範疇三總量。,根據環境部燃料季用量申報資料
東鹼,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
新唐,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
聯成,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
誠美材,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
宏捷科,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
精金,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台燿,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
元晶,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
采鈺,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
巧新,鋁製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
矽格,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,設定有2025年(短期)、2028年(中期)、2030年(長期)的溫室氣體減量目標。,報告書p.55明確指出「2021年為基準年」。,數據來自GRI 305-1揭露，範疇一(類別一)排放量。,報告書未揭露此類別數據。,p.91提到推動產品碳足跡盤查作業；p.46提到供應鏈管理與ESG宣導；p.61提到廢棄物回收再利用率目標。,"p.52表格，2023年數值為543,041.16 GJ，換算為 543,041,160 MJ。",依據p.54表格，「類別三」(上游運輸、員工通勤)排放量。數據來自p.54表格，包含範疇三(類別三至六)總和。數據來自GRI 305-2揭露，範疇二(類別二)排放量，採電力係數計算(0.495 kgCO2e/度)。,"p.54表格將「購買的商品」與「外購能源之生產相關」合併於類別四中(數值18,875.7434)，未單獨拆分GHG Protocol Category 1數值。","p.52數據。電力包含外購電力(551,070.93)與外購再生能源(16,203.69)。化石燃料(1,709.18)。報告書未進一步細分汽柴油量，僅給總化石燃料GJ值。",p.54表格列出「處置固態和液態廢棄物」排放量。,p.54表格將上游運輸與員工通勤合併於類別三(數值668.1839)，未單獨拆分。,p.54表格將員工通勤與上游運輸合併於類別三，未單獨拆分。,報告書未揭露此類別數據。,根據環境部燃料季用量申報資料
聯合再生,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
晶碩,眼鏡製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
南港,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台榮,碾穀、磨粉及澱粉製品製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台達化,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
上銀,金屬加工用機械設備製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
卜蜂,食品業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
三陽工業,汽機車業,根據台灣證券交易上市公司 2023 年度第四季報,設定有2030年中期減量目標。,報告書p.7及p.108註明溫室氣體盤查基準年為2022年。,2024年範疇一排放量，包含新竹廠、新豐廠、零件業務部及宿舍。,p.183確信報告中標示為Not Significant Emissions。,p.101提及研發低碳高效能產品降低產品使用階段碳排；p.116提及使用環境友善原料。,"引用p.109「組織內部的能源消耗量」2023年數值。原始單位為KJ，已換算為MJ (387,130,424,660 KJ / 1000)。",報告書p.114僅列出範疇三總量，且依據p.183確信報告，主要排放歸類於ISO類別4(組織使用的產品)，類別3顯示為無/未顯著。2024年範疇三總排放量。2024年範疇二排放量，包含新竹廠、新豐廠、零件業務部及宿舍。,p.183確信報告中標示為Not Significant Emissions。,資料來自p.109表格。,p.183確信報告中標示為Not Significant Emissions。,p.183確信報告中標示為Not Significant Emissions。,p.183確信報告中標示為Not Significant Emissions。,p.183確信報告中標示為Not Significant Emissions。,根據環境部燃料季用量申報資料
東隆興,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
宏全,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台耀,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
環泥,水泥業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台船,造船業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
怡華,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
環泰,食品業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
達邁,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台星科,電子業,根據台灣證券交易上市公司 2023 年度第四季報,設有溫室氣體絕對減量目標。例如：2025年較基準年（2024年）減量1%（≥310公噸CO2e）。,溫室氣體減量基準年設定為2024年。,2024年範疇一排放量（直接排放）。,報告書僅揭露範疇三總量，未依GHG Protocol類別細分揭露。,報告書未具體列出針對範疇三的減量作為，主要集中於範疇一、二的節能與綠電。,"原始數據為209,770.91 GJ。換算MJ為 209,770,910 MJ。",報告書僅揭露範疇三總量，未詳列ISO 14064-1類別三的具體數值。2024年範疇三排放量（其他間接排放）。2024年範疇二排放量（能源間接排放）。,報告書僅揭露範疇三總量，未依GHG Protocol類別細分揭露。,"依能源消耗量大小排序。另有外購再生能源6,148.42 GJ (含於電力或分開列示，表內分開)。",報告書僅揭露範疇三總量，未依GHG Protocol類別細分揭露。,報告書僅揭露範疇三總量，未依GHG Protocol類別細分揭露。,報告書僅揭露範疇三總量，未依GHG Protocol類別細分揭露。,報告書僅揭露範疇三總量，未依GHG Protocol類別細分揭露。,根據環境部燃料季用量申報資料
長興,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
楠梓電,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台亞,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
欣銓,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
燁興,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
和大,汽機車業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
廣達,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
漢翔,航空業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
建大,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
宏洲,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
建榮,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台鹽,食品業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
昇陽半導體,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
三芳,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
南帝,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
嘉聯益,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
春雨,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
年興,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
巨大,自行車業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
元太,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台半,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
大統新創,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,設定2030年減量目標。,報告書p.40註2明確指出基準年為2021年。,2024年範疇一排放量，包含本公司與桃園廠，經第三方查證。,範疇三尚未統計。,報告書中無範疇三相關具體減量作為之揭露。,2023年能源總消耗量 (原始單位GJ)。,範疇三尚未統計。報告書p.32註1及p.60指出範疇三之溫室氣體排放尚未統計。2024年範疇二排放量，包含本公司與桃園廠，經第三方查證。,範疇三尚未統計。,排序依用電量(換算熱值後)或報告順序。電力約3萬GJ，天然氣約14.7萬GJ。,範疇三尚未統計。,範疇三尚未統計。,範疇三尚未統計。,範疇三尚未統計。,根據環境部燃料季用量申報資料
可成,鋁製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
辛耘,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
