基金代號,公司,統一編號,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,是否完成用電大戶再生能源設置義務,中期再生能源目標,RE100承諾,燃煤使用量（公噸）
006203,正新,59504506,"79,551",,22%,❌,節能減碳委員會，各廠節能措施定期報告計畫及成果。提出自主減量計畫方案。推動節能方案，主軸面向則放在製程/廠務設備最佳化、舊設備汰換與節能控制管理等。代表性節能方案包含設備提升改造、更換節能設備、技術優化、綠能使用。,✅,❌,,1%,2.2%,❌,1% (無目標年),❌,0
006203,統一,73251209,"77,562",,38%,❌,統一企業的減排措施包括以低污染的天然氣取代燃料油，每年實施節能專案（內容包含設備汰換改造、設備參數優化、生產流程調控等），2024年重點為冰水主機汰換與鍋爐系統改良。持續進行產品碳足跡標籤認證。在價值鏈排放方面，針對交易金額前20大的供應商進行溫室氣體盤查及節能減碳教育訓練。具體行動計畫還包括增設太陽光電、提升能源使用或導入高效節能設備與購買綠電，使用潔淨能源（重油改天然氣）、採用高效率照明、高效率泵浦/馬達、沼氣發電、熱泵、磁浮冰水主機、氣浮鼓風機、空壓機及冰水系統採變頻主輔機整合、廢熱回收、製程改善、提高設備效率等專案。,❌,❌,7.8%,1%,,❌,2027,❌,0
006203,國巨,22636630,"75,048",2050,,❌,2024 年，我們整合「自動化生產」、「製程數位化」與「能源管理優化」三大策略，創造兼顧環保與營運效能的新標竿。我們逐步擴大再生能源使用與水資源管理目標，確保企業營運與環境保護並行不悖。同時，國巨全面對照 TCFD 架構進行氣候風險識別與資訊揭露，建立包含碳排放、用水、再生能源等關鍵指標的追蹤機制，強化永續治理基礎，穩健邁向 2050 年淨零排放目標。/ 目前公司主要策略為強化研發能力以符合客戶低環境衝擊產品的需求，同時透過提升再生能源使用率，設定各廠節能目標、提升單位產能績效降低生產之能源耗量，更預計逐步於各廠建置再生能源系統及導入 ISO 50001 能源管理系統。,❌,❌,-7.8%,1%,4.5%,❌,無目標年,❌,0
006203,廣達,22822281,"27,466",2050,42%,承諾設定科學基礎目標,廣達將持續深化內部節能減碳行動，並擴展低碳營運策略。全球各營運據點積極推動節能與低碳專案，涵蓋設備升級與汰換、流程優化、營運模式調整、員工行為改善，以及逐步擴大綠電採購。2024年共執行81項節能減碳方案，較2023年增加27項，具體措施包括冰水主機設備汰換與安裝、馬達、增設智慧電錶、鍋爐加裝節能器等、安裝變頻器。,✅,✅,2.4%,,47.5%,❌,無目標年,❌,0
006203,元太,22099890,"19,566",2040,80%,❌,1. 建立環境相關國際管理系統: 推動溫室氣體盤查、碳足跡盤查及環境相關管理系統等。 2. 能效提升: 設備汰舊換新、設備效率改善、辦公室節能方案。 3. 使用低碳能源: 提高再生能源使用占比。 4. 價值鏈減碳: 要求供應鏈節能或導入再生能源。 5. 負碳技術: 關注自然碳匯、碳捕捉及封存與碳權取得。,❌,✅,-6.8%,,48.8%,✅,1% (2040),✅,0
006203,可成,69905810,"11,240",2050,46%,符合1.5°C目標,可成於2024年9月向SBTi提交承諾書，並於2025年2月獲得認證，以2022年為基準年，承諾於2030年合計減少範疇一及範疇二絕對溫室氣體排放量46.2%、並減少範疇三溫室氣體排放量27.5%；長期目標為2050年減少範疇一、範疇二、範疇三絕對溫室氣體排放量分別達90%。關鍵減量策略包括：積極設置再生能源發電設備、採購綠電，實施各項節能措施。,❌,✅,-115.5%,1%,4.9%,❌,無目標年,❌,0
006204,台塑化,86522210,"24,234,494",2050,28%,❌,短期 (2025 年): 節能減碳循環經濟改善措施、設置及開發再生能源 (太陽能、小水力等)、鍋爐混燒固體再生燃料 (SRF) 5%、以共煉方式生產永續航空燃油 (SAF)。,✅,❌,-10.9%,1%,,❌,無目標年,❌,"7,790,821"
006204,中鋼,30414175,"18,066,406",2050,25%,❌,"中鋼已設定短、中、長期減碳目標,長期以139年達成碳中和作為努力目標,規劃各項策略,並制定碳中和路徑規劃圖。短期減碳策略,採取「增加再生能源使用」、「加大力度提升能源效率」為主;114至119年主要透過「高爐添加低排碳鐵源」、「高爐噴氫取代煤」、「鋼化聯產」、「增用廢鋼」達到119年較107年減碳25%之目標(範疇一+範疇二),119年之後邁向碳中和的長程規劃有4個路徑,「設備電力化」、「無碳燃料」、「碳捕捉利用與封存(CCUS)、「全氫能冶煉製程」,共10個面向推動減碳工作,並於139年邁向碳中和目標。",❌,❌,-8.7%,,,❌,2030,❌,0
006204,台積電,22099131,"11,418,278",2050,,❌,氣候韌性方面，推動低碳製造，持續採用最佳技術減少溫室氣體排放。使用再生能源，持續使用再生能源及設置太陽能發電系統。提升能源使用效率，持續導入節能措施，積極落實節能行動。在供應鏈方面，透過 T.S.M.C. 供應鏈減碳行動策略，包括績效追蹤、提供支持、提升動機、創新合作四大方向進行減碳。,❌,✅,-6.6%,,14.1%,❌,18% (2030),✅,0
006204,台塑,75708007,"8,130,027",2050,40%,遠低於2°C,燃煤朝向低(零)碳能源轉型: 推動煤轉氣、汰除老舊燃煤鍋爐、碳捕捉及再利用、持續研發固碳技術、推動氫能發電、持續研發設置低(零)碳電力。,❌,❌,-11.9%,,0.0%,,5% (2025),,"1,180,546"
006204,台化,58650902,"8,022,913",2050,25%,遠低於2°C,減碳策略包含：節能改善（導入AI智能生產、推動模擬工廠及營運管理數位化），能源轉型（燃油鍋爐改為燃氣鍋爐、增設再生能源），循環經濟（醋酸廠尾氣CO2回收再利用、廢漁網及蚵繩回收），以及其他減碳措施（推動電動機車補助、開發智慧電網應用技術、研討先進低碳能源技術）等。,❌,❌,-3.7%,,5.1%,✅,無目標年,❌,"1,353,322"
006204,南亞,75370905,"3,752,539",2050,35%,遠低於2°C,"南亞公司訂定「2050 年碳中和」為長期減碳目標，積極推動四大減碳策略：1. 低碳能源轉型（公用廠燃煤鍋爐停止運轉，設置燃氣蒸汽鍋爐等設備，另各生產廠也改用低碳能源如天然氣取代高碳能源如煤炭、重油）。2. 節能減碳循環經濟（持續推動製程改善、循環經濟、AI 及數位轉型，提升能源使用效率及減少廢棄物發生量）。3. 提高再生能源用量（於各廠區廠房屋頂建置太陽能發電設備，至 2030 年設置總容量約 56,265.97 KW）。4. 碳捕捉技術運用（擴建電子級及工業級液態CO2工廠，將化工製程中所發生的CO2回收資源化）。",❌,✅,0.5%,,0.3%,✅,2.5% (2030),❌,"319,759"
006204,台泥,11913502,"3,643,800",2050,,符合1.5°C目標,主要運用水泥製程中關鍵的替代熟料、替代原料、替代燃料、餘熱發電、製程改善、再生能源及碳捕獲做為減碳策略，碳匯部分自2023年啟動森林及土壤調查，作為淨零碳移除之可行方案。,❌,✅,4.2%,1%,0.3%,✅,50% (2040),❌,"466,089"
006204,亞泥,03244509,"2,782,856",2050,10%,遠低於2°C,亞泥重要減碳措施包含：1. 導入循環經濟（17%）、2. 生產低碳水泥（34%）、3. 改善生產能耗（5%）、4. 碳捕捉及利用（36%）、5. 自然再碳酸化（8%）。,❌,✅,59.5%,,0.1%,❌,7% (2030),❌,"427,140"
006204,群創,12800225,"2,412,736",,25%,遠低於2°C,公司規劃短中期減碳目標為至 2030 年溫室氣體範疇一與範疇二排放量相較基準年 2020 年減量 25%。減量策略包含製程低碳轉型、能源效率提升、再生能源裝置設置。採取行動包含維持高效率尾氣削減設備效率、FCs 氣體減量使用、降低石化燃料使用、汰換老舊設備提升能源使用效率、設置太陽能發電裝置、設置沼氣生質發電裝置與評估低碳能源發電裝置等。,❌,✅,3.0%,2%,4.9%,,無目標年,❌,0
006204,友達,84149738,"1,971,913",2050,42%,符合1.5°C目標,友達推動低碳供應鏈之策略一為「數位平台的導入與減碳路徑的規劃」，目標是透過數位科技及環保資源來引導供應鏈在 2030 年達成減碳 20% 的目標。2023 年友達與經濟部聯合 15 家關鍵供應商啟動「以大帶小製造業低碳及智慧化升級轉型補助」專案，並於 2024 年完成計劃中各項減碳目標。透過此專案，友達發揮產業影響力，以務實的技術與輔導，助攻供應商導入數位節能與碳管理機制，建置有效且長期運行的低碳轉型模式，推動整個供應鏈的低碳化目標。,❌,✅,7.0%,5%,6.7%,✅,30% (2030),✅,0
006204,聯電,47217677,"1,430,027",2050,42%,符合1.5°C目標,聯電已擬定低碳轉型計畫，將分別針對營運活動的直接排放（範疇一）、能源使用的間接排放（範疇二），以及價值鏈產生的間接排放（範疇三）進行減量。主要策略包括：1. 持續積極自主減碳（研發先進晶圓代工技術、提升能資源生產力及使用效率，將半導體晶圓製造及 IC 終端產品使用階段之碳排降到最低）；2. 全面採用再生能源（訂定 2025 年 25%、2030 年 50%、2050 年 100% 三階段目標，大幅提升再生能源使用比例）；3. 投資淨零碳技術（投資淨零碳排放技術及參與碳抵減相關專案，以抵減不可避免或尚有削減技術限制的碳排放）。,❌,✅,-28.5%,,17.1%,✅,30% (2030),✅,0
006204,正隆,33085508,"1,338,222",2050,20%,❌,將低碳轉型融入營運策略之中，以「循環經濟、低碳綠能、智慧創新」為核心，透過 S.M.A.R.T.（Subtraction 資源減用、Material 轉廢為能、AI 產銷智能、Recycling 回收再生、Technologies 先進製程）低碳智紙五大策略，規劃四大科學減碳路徑（提高能源效率、發展再生能源、深化循環低碳燃料、創新應用負碳技術），且積極參與國家減碳輔導計畫，包含大園造紙廠參與經濟部產業發展署「產業低碳轉型計畫」。,❌,❌,-2.2%,,4.0%,✅,10% (2030),❌,"381,978"
006204,中石化,03084741,"843,461",2050,50%,❌,2005~2025 年：製程改善、設備更新與改善效率、燃料改天然氣、建置低壓蒸汽發電系統、採用節能風扇與變頻器、太陽能系統設置。2026~2030 年：能源效率改善及整合、冰水機設備優化、建立再生能源設備、節能設備更新、採用新節能馬達、鍋爐效率提升。2031~2050 年：增加再生能源使用量、使用綠色能源與生質燃料、碳捕捉及封存 (CCUS) 技術、購買綠電憑證與碳權。,❌,❌,-1789.1%,1%,1.3%,✅,2% (無目標年),❌,"7,084"
006204,東和鋼鐵,75280209,"822,114",2050,30%,❌,因應 2050 年淨零碳排目標，訂定 1.5 度 C 低碳轉型計畫及減碳路徑圖，積極投入風電、光電、氫能、碳捕捉利用等新領域。策略包括：更新高效率電爐、投資再生能源發電業、採購再生能源電力、低碳煉鋼製程改造、提高設備能源效率、申請自主減量計畫與應用碳捕捉（CCUS）技術。減碳路徑圖主要貢獻來自 CCUS、再生能源、電爐/製程改善、減少副原料、低碳燃料、能效提升、不使用銑鐵。,❌,❌,-2.0%,,100.0%,❌,30% (2030),❌,0
006204,華紙,94025264,"727,556",2050,30%,承諾設定科學基礎目標,綠電發展（建置太陽能、擴大木質素生質能發電容量）、減碳策略（減少石化燃料、增加替代燃料、投入生質燃料）、林業經營（以造林、再造林和森林經營管理，發揮儲碳、固碳功能，提升減碳效益）、製程改善（紙機設備、真空透平泵及蒸汽冷凝水系統改造，蒸汽控制系統、木質素設備汰舊換新，導入智慧節能系統）、創新應用（投資低碳研發創新技術，導入內部碳定價、積極承諾 SBTi，推動植樹造林專案增加碳匯）,❌,❌,-12.1%,,29.0%,❌,無目標年,❌,"250,197"
006204,豐興,55389357,"696,740",2050,25%,❌,減少用氣量、用電量。提升電爐及加熱爐燃燒效率。維持電爐及加熱爐溫度，減少熱損失。使用乾淨能源，如重油改天然氣，降低溫室氣體排放。製程改造，針對老舊製程汰舊換新，提升能源使用效率。裝置再生能源自發自用，以滿足用電大戶之責任需求。配合台電夏季限電方案減產，維持民生與經濟用電平衡。,❌,❌,-5.0%,1%,1.1%,✅,1% (無目標年),❌,0
006204,台玻,11914002,"598,880",,,❌,台玻的關鍵減量策略包括：持續碎玻璃回收使用以節約能源和減少溫室氣體排放；實施節能減碳措施以降低能源使用強度並設立減碳目標；開發綠色節能產品如Low-E玻璃；推動綠色採購；以及投入再生能源建置太陽能板。,❌,❌,10.2%,,2.6%,✅,無目標年,❌,0
006204,力積電,28112667,"582,944",2050,14%,❌,針對製程所使用的含氟溫室氣體減量，除持續進行源頭管理評估物料取代外，亦致力提升末端除害裝置之處理效能或汰換老舊設備。2024年積極推動包含製程尾氣處理設備之汰舊換新、增加製程尾氣之處理範圍及安裝高效率製程尾氣處理設備於新設機台等實際減量計畫運作。主要方案包括：汰換現場製程尾氣處理設備、增加製程尾氣處理範圍、妥善處理製程排放含氟氣體。,❌,❌,-59.0%,1%,0.9%,❌,無目標年,❌,0
006204,遠東新,03522600,"569,532",2050,50%,❌,提升能源效率：透過製程改善、設備改善、能源管理三大方向提升能源效率。低碳燃料替代：逐步將高碳排放的水煤漿和重油鍋爐替換為碳排放量較低的天然氣鍋爐，以及織染廠使用生質燃料。發展再生能源：積極投資設置多元再生能源發電設備，並逐年外購再生電力，提升再生電力使用比例。使用碳捕捉及再利用（CCU）技術：本公司首創全球廢氣回收再製聚酯技術，將鋼鐵廠回收的廢氣，透過特殊微生物發酵技術生產乙醇，再製成聚酯產品。原料使用轉型：採用低碳替代原料，包含回收再生料和生物質，以廢棄物為原料，達到循環經濟之願景。,❌,✅,9.7%,,14.0%,✅,20% (2030),❌,"185,210"
006204,欣興,23535435,"537,380",2050,30%,❌,欣興電子已採取多項關鍵策略，已持續朝永續目標前進，欣興預計於 2024~2026 年間在 6 廠區各設 1~2 座氫能發電廠，積極導入綠色能源以降低碳足跡，並提升能源自主性。此外，我們持續優化生產流程、推動廠區智慧節能技術，並參與國際減碳倡議，以確保企業發展符合全球永續標準。,❌,❌,-20.6%,,,✅,30% (2030),❌,0
006204,南電,16096804,"442,870",,3%,遠低於2°C,公司運用 AI 技術優化製程，提升良率並降低原物料消耗，如刪減烘烤、植錫球及錫膏製程改善。此外，節能節水方案分為三類：製程能源減量、能源管理、公用設備效率提升。,✅,✅,-53.0%,2%,0.1%,❌,無目標年,❌,0
006204,南亞科,89390656,"430,324",,25%,遠低於2°C,南亞科技落實「創造共享價值」策略主軸，持續盤點營運過程可能產生環境衝擊，針對自然、氣候、能源、資源、污染排放及循環再利用等議題，從源頭產品設計及先進技術研發，以提供消費者使用更高效能及更低碳排放的產品，採用優於法規的標準與遵循國際永續框架，以持續避免或降低衝擊風險，並制訂相關永續績效指標來檢核。藉建廠規劃時購置PFC高削減率Local Scrubber，以及製程PFC用量減少方案的推動，設定減量目標是達到90%以上；在2021年至2024年間，製程PFC氣體削減排放比例均達到93%以上。,❌,✅,-34.0%,,4.4%,❌,2030,,0
006204,台肥,03795101,"413,921",2050,46%,❌,台肥公司的關鍵減量策略主要包括：硝酸工場DeN2O溫室氣體減量（初期以全廠碳排減量47%為目標，2040年減量35.5萬噸二氧化碳當量）；新建置2座2萬噸液氨儲運系統，以發展氫氨能；建置再生能源及儲能系統；研發大地友善肥料產品，以減少化學肥料使用量。,✅,❌,-10.6%,1%,4.8%,❌,8% (2028),❌,0
006204,華邦電,22099218,"397,007",2050,42%,承諾設定科學基礎目標,碳排放管理 ( 溫室氣體盤查、產品碳足跡 )、能源管理系統、水資源管理系統、循環經濟、能耗設備汰換 ( 馬達與加熱設備 )、用量管理 ( 排氣系統節能 )、AI 智慧化能源監控 ( 智能空調 )、再生能源 ( 風能、太陽光電 )、製程氣體減量 ( 利用率提高 )、新式尾氣削減技術、含氟氣體替代技術、低碳原料、氫能、研究及實踐自然為本的解方、研究科技為本的解方、低碳運輸。,❌,✅,-30.8%,3%,5.9%,❌,15% (2030),❌,0
006204,旺宏,22099548,"355,303",2050,,❌,旺宏訂定 2050 年淨零排放為長期目標，並規劃減量路徑作為定期績效檢驗指標。各廠將依據減量路徑規劃減碳專案並經過預算審查據以執行，每年執行各廠組織型溫室氣體盤查與驗證，每年追蹤減碳進度，並訂定每 5 年為一期檢視減碳績效，2025 年為第一個目標檢視點。預計 2025 年減量措施，包含：裝設氟系氣體削減設備、提升綠電使用率及節能措施等。2024 年之節能策略主要針對空調、冰機以及設備轉運調配節能，共執行 40 項節約能源方案。,❌,✅,-35.4%,,2.0%,✅,無目標年,❌,0
006204,台汽電,86685142,"337,169",,,❌,,,,,,,,,,"124,832"
006204,力成,16082267,"306,448",2050,15%,❌,力成科技的溫室氣體減量策略著重於用電管理及減少用電量，設定節電目標：年節電率達 1%。具體措施包含設備汰換 (乾燥機設備汰換、泵浦更換為 IE3 節能馬達、冷卻水塔濾材更換)、參數優化 (冰水主機冷凝器清洗保養、空壓機 PCW 冷卻水改冰水供應、區域風機運轉時間及頻率調整等)、照明汰換 (使用高效率 LED、調整部分區域照明管控方式) 及設置太陽能板自發自用。,❌,❌,-3.5%,1%,3.5%,❌,無目標年,❌,0
006204,華新,35412204,"293,730",2050,15%,❌,三、氣候變遷因應策略：為因應極端氣候帶來之風險與機會，華新積極展開各項減碳行動，確立集團內溫室氣體減量目標，並成立節能減排小組，打造綠色低碳營運模式、並透過持續不斷的技術創新研發能力，提升綠色製程並精進綠色產品。策略主軸包含綠色生產、再生能源、綠色營運、循環經濟、綠色產品。,❌,✅,-0.1%,1%,10.4%,✅,2022,❌,0
006204,京元電子,22507241,"280,120",2050,15%,❌,關鍵減量策略主要涵蓋：推動節能專案以提高能源使用效率、透過綠電轉供持續擴大再生能源使用、既有及新建廠區屋頂建置太陽能發電系統、廠務及生產製程閥體冷媒汰換為低GWP值冷媒、持續關注重碳權交易市場。此外，再生能源策略包括規劃太陽能板設置、簽訂綠電憑證購電協議（CDDP）、與能源公司合作開發案場。,❌,❌,-25.3%,,2.4%,❌,2030,❌,0
006204,彩晶,16450500,"265,840",2045,30%,❌,瀚宇彩晶積極響應全球淨零轉型，訂定 2045 年達成淨零排放的長期目標，並啟動四大減碳策略：組織減碳、再生能源導入、供應鏈減碳、及低碳產品創新。,❌,✅,-17.9%,1%,2.2%,❌,1% (2030),❌,0
006204,中鴻,07838854,"260,634",2050,25%,❌,"1. 實現節能潛力: 持續節能並增加綠電達成減碳目標。2. 提高綠電使用量並擴大綠電類別(光電、風電等)。3. 視氫燃燒系統成熟度、低碳氫供應時程和經濟可行性,熱能設備導入全氫燃燒系統。",❌,❌,,,0.8%,✅,1.6% (2030),❌,0
006204,景碩,70785139,"236,715",2050,,❌,節能減碳六大主軸：新技術與設備導入 (魯式鼓風機汰換、熱泵系統取代電加熱、冰機汰換、冷卻水塔葉片更換、空調箱導入EC高效風車、K1K2汰換DC型FFU機組)；能源管理＆效率提升 (空調空壓能效管理與節能、空壓多機連控+定變頻管理、空壓高低壓分流/空調大溫差管理、冷卻水塔風扇變頻&出水溫度管理)；廠務系統整併優化 (集塵系統管路整合、空壓機設置熱回收、空壓站通風改善、空調/排氣系統整併&降頻節能)；水設備與純水 (廢水廠流程&管理、RO節能與全廠節水)；其他管理面 (K6建置太陽能光電&直購綠電、能源綜合有效(循環)利用、評估氫能發電&其他再生能源、儲能與綠能專案拓展)。,❌,❌,-16.7%,,0.9%,✅,無目標年,❌,0
006204,台勝科,89406518,"229,103",2050,25%,遠低於2°C,公司設定2050碳中和目標，透過「六綠」原則（綠建築、綠能源、綠採購、綠製程、綠排放、綠產品）推動氣候策略藍圖。策略包括整合氣候議題至管理面向、推動低碳供應鏈與範疇三盤查、節能改善、規劃再生能源建置與採購再生能源憑證，並設定2030年範疇一、二溫室氣體排放減量25%及再生能源使用比例25%目標。,✅,✅,-12.6%,,,❌,無目標年,❌,0
006204,南茂,16130042,"224,960",2050,,❌,南茂淨零排放策略以綠色能源計畫、發展綠色生產、調適與緩解氣候變遷、永續行動與綠色影響力等五大主軸展開具體行動計畫。減碳方法主要包括：① 內部運營節電與能效管理；② 綠電案場導入及建置、綠電憑證購買；③ 其他：碳捕捉技術 or 碳權市場交易。,❌,❌,-3.8%,3%,0.6%,❌,無目標年,❌,0
006204,大立光,22480876,"164,275",,,❌,"擬定碳減量計畫與再生能源策略，持續進行節能減碳措施。導入高效率空調、製程冷卻與照明系統(如變頻空壓機、LED照明)。溫控調整或增設定時裝置以降低運轉耗電。推動E化系統減少用紙消耗。設置電力監控系統。安裝節水設備，定期記錄用水流量及分析。高耗能及老舊設備汰換。新建廠規劃建置1,100KW太陽光電。尋找合適再生能源取代傳統能源。廠區綠化。廠區內生產製程物料使用源頭控管，避免使用現行環保技術無法處理的原物料。",✅,❌,,,0.0%,❌,2030,❌,0
006204,福懋,14001199,"161,770",2050,34%,遠低於2°C,轉換低碳燃料、使用再生能源、製程改善、停用燃煤，燃油轉天然氣，使用太陽能發電，並購買綠電、運用負排放技術、導入先進製程技術與製程設備改善、提升生產與能源運用效率、落實零煤政策、與供應鏈合作以環保回收材料，開發綠色低碳產品。,✅,✅,,,,❌,無目標年,❌,0
006204,華通,04401392,"145,463",2050,30%,❌,華通透過能效提升和設備汰換兩個主要路徑進行減量行動，並依據各廠區特性，規劃多元的健康促進活動，也培養每一位員工都能建立自救救人的能力，2024年舉辦各種健康促進系列活動，以達能耗強度下降之長期目標。,❌,✅,-133.3%,1%,33.1%,✅,30% (2030),❌,0
006204,燁輝,75947936,"145,362",2050,22%,❌,"燁輝企業的關鍵減量策略包括：1. 減碳承諾：2030年減碳22%、2040年減碳42%、2050年實現碳中和。2. 節能管理：2024年完成36項節能專案，節能10,946.4GJ，減碳696.4噸CO2e。持續推動節能減碳措施。3. 再生能源使用：於高雄一廠、屏東廠區架設太陽能板，自產能源。4. 低碳產品開發：開發低碳排綠色鋼材、高再生比例電爐煉鋼原料、低碳排單塗背漆、低碳鋼品等。5. 碳管理機制：擬定溫室氣體盤查及查證計劃，因應台灣碳費徵收、歐盟碳邊境調整機制(CBAM)。建立碳排放數據管理系統。6. 製程優化與設備更新：導入智慧製造，提升設備能資源效率，廢熱回收再利用，製程優化降低不必要的耗能。7. 擴大低碳經濟：擴大電爐原料應用，推動環保低碳綠能產品研發及拓銷。",✅,❌,-8.5%,,1.3%,✅,1.5% (2025),❌,0
006204,超豐,05126366,"101,003",2050,10%,❌,基準年以 2022 年為基準 (Scope1+2)，短期：2025 年減量 3%，中期：2030 年減量 10%，長期：2050 年朝向淨零排放之路徑前行。用電量年減 1%，為因應氣候變遷、促進公司永續經營及配合法規。推動環境管理系統 (ISO 14001)，製程降低能源使用，減少碳排放量。為保護環境盡最大的力量。自 2016 年自願性進行溫室氣體盤查。,❌,✅,,1%,0.9%,❌,10% (2030),❌,0
006204,中碳,23221384,"83,694",2050,5%,❌,"本公司致力於達成碳中和目標,規劃以提升能源效率與能源使用來源等製程減碳措施,使本公司於氣候變遷因應歷程能維持企業競爭力。本公司由價值鏈分析出發,每年參考國際機構研究並配合集團碳中和減碳路徑規劃之期程,評估各時間長度下可能遭遇之轉型風險、實體風險以及機會等議題,從而建立可代表本公司營運特性之氣候風險與機會議題清單,並分析對於本公司經營模式與價值鏈之影響。",❌,❌,-16.3%,2%,0.0%,✅,2% (2029),❌,0
006204,金像電,30955404,"83,259",,47%,❌,為實現碳排放總量與強度雙重下降目標，金像電於2024年推動多項具體減碳措施，涵蓋能源效率提升、設備汰換、製程優化、再生能源導入與間接排放管理等層面，逐步建構具體可量測之低碳轉型架構。具體措施包括汰換高耗能設備、馬達汰換、再生能源T-REC採購、異地材料採購。,❌,❌,3.4%,1%,28.3%,❌,1.5% (2030),❌,0
006204,正新,59504506,"79,551",,22%,❌,節能減碳委員會，各廠節能措施定期報告計畫及成果。提出自主減量計畫方案。推動節能方案，主軸面向則放在製程/廠務設備最佳化、舊設備汰換與節能控制管理等。代表性節能方案包含設備提升改造、更換節能設備、技術優化、綠能使用。,✅,❌,,1%,2.2%,❌,1% (無目標年),❌,0
006204,統一,73251209,"77,562",,38%,❌,統一企業的減排措施包括以低污染的天然氣取代燃料油，每年實施節能專案（內容包含設備汰換改造、設備參數優化、生產流程調控等），2024年重點為冰水主機汰換與鍋爐系統改良。持續進行產品碳足跡標籤認證。在價值鏈排放方面，針對交易金額前20大的供應商進行溫室氣體盤查及節能減碳教育訓練。具體行動計畫還包括增設太陽光電、提升能源使用或導入高效節能設備與購買綠電，使用潔淨能源（重油改天然氣）、採用高效率照明、高效率泵浦/馬達、沼氣發電、熱泵、磁浮冰水主機、氣浮鼓風機、空壓機及冰水系統採變頻主輔機整合、廢熱回收、製程改善、提高設備效率等專案。,❌,❌,7.8%,1%,,❌,2027,❌,0
006204,統一實,73252657,"76,339",2050,25%,❌,短期: 使用高效率設備與製程，包括:持續設置太陽能光電，並購買綠電。長期: 所有燃料設備(鍋爐、退火爐)都要使用天然氣或電能，並參照世界鋼鐵廠及飲料廠的最新技術進行相關減碳作業。,❌,❌,7.5%,2%,0.9%,✅,無目標年,❌,0
006204,國巨,22636630,"75,048",2050,,❌,2024 年，我們整合「自動化生產」、「製程數位化」與「能源管理優化」三大策略，創造兼顧環保與營運效能的新標竿。我們逐步擴大再生能源使用與水資源管理目標，確保企業營運與環境保護並行不悖。同時，國巨全面對照 TCFD 架構進行氣候風險識別與資訊揭露，建立包含碳排放、用水、再生能源等關鍵指標的追蹤機制，強化永續治理基礎，穩健邁向 2050 年淨零排放目標。/ 目前公司主要策略為強化研發能力以符合客戶低環境衝擊產品的需求，同時透過提升再生能源使用率，設定各廠節能目標、提升單位產能績效降低生產之能源耗量，更預計逐步於各廠建置再生能源系統及導入 ISO 50001 能源管理系統。,❌,❌,-7.8%,1%,4.5%,❌,無目標年,❌,0
006204,華泰,89004161,"71,037",,23%,❌,自 2020 年起，華泰電子逐年推動節能減碳方案，包含以下四大措施： 1. 優化設備運轉時數，減少公用設備閒置能耗 2. 汰換老舊設備，提升整體能源效率 3. 導入太陽能設施，擴增再生能源使用占比 4. 購買綠電與取得憑證，強化低碳能源結構。,❌,❌,3.0%,3%,1.2%,❌,無目標年,❌,0
006204,勝一,75970680,"59,136",2050,30%,❌,減毒、節能、減碳為經營使命，用無毒、低毒原料替代高毒原料、用生質燃料替代重油來減少碳排放量、設置太陽能發電設備產出零碳電力，並進行多項節水節電措施。加強設備檢修、汰換設備、增購節能與高效率設備，並制定節電目標，持續降低產品單位用電量。推動製程能源耗用減量、能源重複使用、廢熱回收轉作蒸氣投入製程技術、設備效率提升及能源管理等改善措施。進行產品碳排量調查，並針對高碳排量產品研擬相關對策。投入低碳產品開發，降低公司製程碳排放。統計年度碳排量，推動部門減碳行動比賽，以達到全公司一起減碳行動。進行碳足跡盤查，設定短、中、長期碳排放目標，達到溫室氣體管理目的。設備汰舊換新以降低碳排。規劃導入再生能源以降低製程碳排。,❌,✅,,,17.7%,❌,無目標年,❌,0
006204,華新科,19004316,"55,942",2050,15%,❌,公司制定了碳減排策略，包含每年至少1%的能源強度降低目標和逐步導入再生能源的計畫。長期願景與轉型路徑包含：(1)能源轉型：逐年提高再生能源使用比重，減少對傳統化石能源的依賴，透過自建太陽能發電、外購綠電及購買再生能源憑證等方式，循序漸進提高再生能源用電比例。(2)製程創新：投入研發低碳製造技術與設備升級，在生產流程中減少能源耗用和廢熱，提高生產效率。(3)產品與市場：開發符合綠色經濟需求的新產品，例如高可靠度、低能耗的被動元件，以支援電動車、5G、再生能源設備等應用，抓住氣候行動帶來的市場機會。,❌,❌,-5.6%,2%,,❌,1.5% (無目標年),❌,0
006204,新唐,28112646,"53,757",2050,49%,符合1.5°C目標,綠色製程：設置具處理溫室氣體效益的處理設備，以及發展再生能源。綠色營運：導入碳定價、提升能源效率、供應商減碳。綠色產品：開發綠色產品、晶片體積微小化。新唐持續投資前瞻製程，藉由製程精進，大幅縮減晶片體積，提升資源使用率，並降低能源消耗和溫室氣體排放，進而降低產品的整體碳足跡。,❌,✅,-0.5%,,1.4%,❌,10% (2030),❌,0
